label,tweet,created,
EndySHD96,RT @ThaiFootballs: Persib Bandung fans at Suphanburi Stadium for Kosin's testimonial match today. #PersibBandung #Kosin #TheLastSave https:…,10/15/2018 1:37,
amang_persib,"RT @VikingUinJkt: Kamu fokus anak kamu aja,biar kami yang lawan #LawanKemustahilan #PersibDay",10/15/2018 1:37,
BobotohCisitu,RT @AzzahrahSyifa_: @persib Wilujeng #PersibDay min<U+2764> https://t.co/2JpIbsyknq,10/15/2018 1:37,
nandajolondo,"RT @persib: <f0><U+009F><U+0093><U+00B0> Preview Persipura vs PERSIB

“Saatnya Kembali”

Kita sambut #PERSIBday besok dengan membaca artikel ini: https://t.co/lYTGX2z…",10/15/2018 1:37,
SoccerTalkApp,Mantan Penyerang Timnas U-19 Jadi Tumpuan Persib di Markas Persipura https://t.co/vypyECIku5 https://t.co/jSbUbCeRUv,10/15/2018 1:37,
kumparan,"Persipura vs Persib, Saatnya Muchlis Hadi Buktikan Kualitasnya https://t.co/4ZQjHtt4AP",10/15/2018 1:37,
sddm8,RT @ThaiFootballs: Persib Bandung fans at Suphanburi Stadium for Kosin's testimonial match today. #PersibBandung #Kosin #TheLastSave https:…,10/15/2018 1:36,
gilangpermadi13,"RT @tribunjabar: Link Live Streaming Indosiar Persipura Jayapura Vs Persib Bandung, Tonton Lewat HP, PC, dan Tablet https://t.co/Ro7b8Y5CrA…",10/15/2018 1:36,
kangnugo85,"@Gilang_Mahesa @persib Bismillah bisa hari ini insyaAllah, sib #persibday #lawankemustahilan",10/15/2018 1:36,
idyllic48bola,LIVE #Liga1 15 Oct: Persipura Jayapura VS Persib Bandung 13.30 WIB on @IndosiarID cc: @IndosiarSports @48Footy… https://t.co/fHKPcMrd3i,10/15/2018 1:36,
TukangKomporin,RT @Bolalob: Mantan Penyerang Timnas U-19 Jadi Tumpuan Persib di Markas Persipura https://t.co/IMr13cQfQb https://t.co/2nZy04gBNH,10/15/2018 1:36,
