"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @ThaiFootballs: Persib Bandung fans at Suphanburi Stadium for Kosin's testimonial match today. #PersibBandung #Kosin #TheLastSave https:…",FALSE,0,NA,2018-10-15 01:37:40,FALSE,NA,"1051648268789141504",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EndySHD96",1043,TRUE,FALSE,NA,NA
"2","RT @VikingUinJkt: Kamu fokus anak kamu aja,biar kami yang lawan #LawanKemustahilan #PersibDay",FALSE,0,NA,2018-10-15 01:37:28,FALSE,NA,"1051648219585818624",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","amang_persib",2,TRUE,FALSE,NA,NA
"3","RT @AzzahrahSyifa_: @persib Wilujeng #PersibDay min<U+2764> https://t.co/2JpIbsyknq",FALSE,0,NA,2018-10-15 01:37:27,FALSE,NA,"1051648215483789312",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BobotohCisitu",1,TRUE,FALSE,NA,NA
"4","RT @ekowBoy: Bos media dukung Jokowi
Jangan harap berita berimbang

Jaksa agung dari partai
Jangan harap hukum adil

Aparat jadi jubir peme…",FALSE,0,NA,2018-10-15 01:37:18,FALSE,NA,"1051648177219153920",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","amang_persib",1207,TRUE,FALSE,NA,NA
"5","RT @persib: <f0><U+009F><U+0093><U+00B0> Preview Persipura vs PERSIB

“Saatnya Kembali”

Kita sambut #PERSIBday besok dengan membaca artikel ini: https://t.co/lYTGX2z…",FALSE,0,NA,2018-10-15 01:37:16,FALSE,NA,"1051648167475724288",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nandajolondo",117,TRUE,FALSE,NA,NA
"6","Mantan Penyerang Timnas U-19 Jadi Tumpuan Persib di Markas Persipura https://t.co/vypyECIku5 https://t.co/jSbUbCeRUv",FALSE,0,NA,2018-10-15 01:37:05,FALSE,NA,"1051648122793811968",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","SoccerTalkApp",0,FALSE,FALSE,NA,NA
"7","Persipura vs Persib, Saatnya Muchlis Hadi Buktikan Kualitasnya https://t.co/4ZQjHtt4AP",FALSE,0,NA,2018-10-15 01:37:05,FALSE,NA,"1051648121694875648",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","kumparan",0,FALSE,FALSE,NA,NA
"8","RT @ThaiFootballs: Persib Bandung fans at Suphanburi Stadium for Kosin's testimonial match today. #PersibBandung #Kosin #TheLastSave https:…",FALSE,0,NA,2018-10-15 01:36:56,FALSE,NA,"1051648082159394816",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sddm8",1043,TRUE,FALSE,NA,NA
"9","RT @tribunjabar: Link Live Streaming Indosiar Persipura Jayapura Vs Persib Bandung, Tonton Lewat HP, PC, dan Tablet https://t.co/Ro7b8Y5CrA…",FALSE,0,NA,2018-10-15 01:36:49,FALSE,NA,"1051648054548295680",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gilangpermadi13",2,TRUE,FALSE,NA,NA
"10","RT @ThaiFootballs: Persib Bandung fans at Suphanburi Stadium for Kosin's testimonial match today. #PersibBandung #Kosin #TheLastSave https:…",FALSE,0,NA,2018-10-15 01:36:48,FALSE,NA,"1051648050794360832",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","alfarozhii",1043,TRUE,FALSE,NA,NA
"11","@Gilang_Mahesa @persib Bismillah bisa hari ini insyaAllah, sib #persibday #lawankemustahilan",FALSE,0,"Gilang_Mahesa",2018-10-15 01:36:45,FALSE,"1051645275247271936","1051648038597361664","29385415","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kangnugo85",0,FALSE,FALSE,NA,NA
"12","LIVE #Liga1 15 Oct: Persipura Jayapura VS Persib Bandung 13.30 WIB on @IndosiarID cc: @IndosiarSports @48Footy… https://t.co/fHKPcMrd3i",FALSE,1,NA,2018-10-15 01:36:44,TRUE,NA,"1051648031534149632",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","idyllic48bola",0,FALSE,FALSE,NA,NA
"13","RT @Bolalob: Mantan Penyerang Timnas U-19 Jadi Tumpuan Persib di Markas Persipura https://t.co/IMr13cQfQb https://t.co/2nZy04gBNH",FALSE,0,NA,2018-10-15 01:36:39,FALSE,NA,"1051648011997130752",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TukangKomporin",1,TRUE,FALSE,NA,NA
"14","PT Liga Indonesia Baru (LIB) telah merilis jadwal baru laga PSMS Medan kontra PS TIRA yang tertunda. Duel kedua tim… https://t.co/rDIs48BuxR",FALSE,2,NA,2018-10-15 01:36:28,TRUE,NA,"1051647968170758145",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","infosuporter",0,FALSE,FALSE,NA,NA
"15","@bonekcasuals @persib Iku persebaya opo manchester united, kalahan ae <f0><U+009F><U+0098><U+009B><f0><U+009F><U+0098><U+009B>",FALSE,0,"bonekcasuals",2018-10-15 01:36:26,FALSE,"1051647509645254656","1051647957445951489","452792464","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","StevanyD",0,FALSE,FALSE,NA,NA
"16","RT @persib: Senin?
Tetap semangat!
Apalagi ini #PERSIBday
Tunjukkan semangatmu untuk kami di hari ini <f0><U+009F><U+0091><U+008A> https://t.co/l8FQbNh09X",FALSE,0,NA,2018-10-15 01:36:21,FALSE,NA,"1051647935337779200",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ObosSobur",237,TRUE,FALSE,NA,NA
"17","RT @ThaiFootballs: Persib Bandung fans at Suphanburi Stadium for Kosin's testimonial match today. #PersibBandung #Kosin #TheLastSave https:…",FALSE,0,NA,2018-10-15 01:36:12,FALSE,NA,"1051647899199623168",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","fahmiahfasidiq",1043,TRUE,FALSE,NA,NA
